GCF_000001985.1	Talaromyces marneffei ATCC 18224
GCF_000002495.2	Magnaporthe oryzae 70-15
GCF_000002515.2	Kluyveromyces lactis
GCF_000002525.2	Yarrowia lipolytica CLIB122
GCF_000002545.3	[Candida] glabrata
GCF_000002655.1	Aspergillus fumigatus Af293
GCF_000002715.2	Aspergillus clavatus NRRL 1
GCF_000002855.3	Aspergillus niger CBS 513.88
GCF_000002945.1	Schizosaccharomyces pombe
GCF_000003125.1	Talaromyces stipitatus ATCC 10500
GCF_000003195.3	Sorghum bicolor
GCF_000003515.1	Uncinocarpus reesii 1704
GCF_000003835.1	Clavispora lusitaniae ATCC 42720
GCF_000003855.2	Blastomyces gilchristii SLH14081
GCF_000004155.1	Schizosaccharomyces cryophilus OY26
GCF_000004255.2	Arabidopsis lyrata subsp. lyrata
GCF_000005825.2	Bacillus pseudofirmus OF4
GCF_000005845.2	Escherichia coli str. K-12 substr. MG1655
GCF_000006175.1	Methanococcus voltae A3
GCF_000006255.1	Postia placenta Mad-698-R
GCF_000006275.2	Aspergillus flavus NRRL3357
GCF_000006335.2	Candida tropicalis MYA-3404
GCF_000006445.2	Debaryomyces hansenii CBS767
GCF_000006605.1	Corynebacterium jeikeium K411
GCF_000006685.1	Chlamydia muridarum str. Nigg
GCF_000006725.1	Xylella fastidiosa 9a5c
GCF_000006745.1	Vibrio cholerae O1 biovar El Tor str. N16961
GCF_000006765.1	Pseudomonas aeruginosa PAO1
GCF_000006785.2	Streptococcus pyogenes M1 GAS
GCF_000006845.1	Neisseria gonorrhoeae FA 1090
GCF_000006865.1	Lactococcus lactis subsp. lactis Il1403
GCF_000006905.1	Caulobacter crescentus CB15
GCF_000006925.2	Shigella flexneri 2a str. 301
GCF_000006945.2	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2
GCF_000006965.1	Sinorhizobium meliloti 1021
GCF_000006985.1	Chlorobium tepidum TLS
GCF_000007005.1	Sulfolobus solfataricus P2
GCF_000007025.1	Rickettsia conorii str. Malish 7
GCF_000007045.1	Streptococcus pneumoniae R6
GCF_000007085.1	Caldanaerobacter subterraneus subsp. tengcongensis MB4
